Time,Position_X,Position_Y,Velocity_X,Velocity_Y,Sonar_Detections,Depth,GPS_Position_X,GPS_Position_Y,Course,Evasive_Action,Fused_Position_X,Fused_Position_Y,Scenario
3703.0,18520.0,0.0,5.0,0.0,0,200.40363696926423,18518.69172333348,6.562863761867935,90.00000000000006,False,18517.425890131868,1.5344635381651792,Normal
3704.0,18525.0,0.0,5.0,0.0,0,200.60033639215473,18525.96704977875,-0.8235267205061179,90.00000000000006,False,18523.632090536503,0.5426861978327806,Normal
3705.0,18530.0,0.0,5.0,0.0,0,200.67529091232214,18528.8532929526,-2.7251179372306176,90.00000000000006,False,18528.678414029608,-0.9821153705618375,Normal
3706.0,18535.0,0.0,5.0,0.0,0,200.7292799705938,18534.668949357772,-4.7620947744987365,90.00000000000006,False,18534.070306889924,-2.9114376106982203,Normal
3707.0,18540.0,0.0,5.0,0.0,0,200.40192737444383,18548.513542649573,-4.640101421886159,90.00000000000006,False,18543.117113188408,-4.167856931769569,Normal
3708.0,18545.0,0.0,5.0,0.0,0,200.29044158004447,18534.054302521752,-2.5270116991531455,90.00000000000006,False,18542.757360254633,-4.0435610597742695,Normal
3709.0,18550.0,0.0,5.0,0.0,0,200.41392397286674,18551.517171969368,4.280861116934951,90.00000000000006,False,18549.035191335668,-0.9174232729157654,Normal
3710.0,18555.0,0.0,5.0,0.0,0,200.26672304606933,18552.061838723694,3.4532836977648147,90.00000000000006,False,18553.143784773492,1.086728252534468,Normal
3711.0,18560.0,0.0,5.0,0.0,0,200.1630772687934,18563.324952035364,-2.0981442466682854,90.00000000000006,False,18560.175570456155,0.13510051471204432,Normal
3712.0,18565.0,0.0,5.0,0.0,0,199.86226408344606,18570.309872195783,0.46134650211774353,90.00000000000006,False,18567.525240030704,0.4354645036975116,Normal
3713.0,18570.0,0.0,5.0,0.0,0,199.88562296842312,18571.776254495515,-4.422267125835955,90.00000000000006,False,18572.674361183683,-1.463547870819411,Normal
